Marcha,Autor,Año,Duración (seg),Duración (min),Dedicatoria,Localidad,Corneta,DR,LS,MS,XS,JS,VS,SS,Total_M
"Soleá, Dame la mano",Manuel Font de Anta,1918,367,0:06:07,Personas,Sevilla,0,0,1,1,1,1,1,1,6
Soledad de Cádiz,Salvador Guerrero Reyes,NA,234,0:03:54,Virgen de la Soledad,Cádiz,0,0,0,0,0,0,0,1,1
Soledad de Sta Cruz,José Manuel García Pulido,NA,331,0:05:31,Virgen de la Soledad,Cádiz,0,0,0,0,0,0,0,1,1
Stm Cristo del Desamparo y Abandono,Francisco Herrera Míjez,1995,315,0:05:15,Cristo del Desamparo y Abandono,Sevilla,0,0,0,1,1,0,0,1,3
Subida al Calvario,David Hurtado Torres,2011,386,0:06:26,Hdad De la Carretería,Sevilla,0,0,0,1,0,0,1,0,2
Tras tu Manto Amargura,Juan Diego Palma Pereña,2022,257,0:04:17,Virgen de la Amargura,Jerez de la Frontera,1,0,0,0,2,0,0,0,2
Triana de Esperanza,Claudio Gómez Calado,2004,299,0:04:59,Virgen de la Esperanza de Triana,Sevilla,1,1,0,0,1,1,0,0,3
Triana tú Esperanza,José de la Vega Sánchez,2003,326,0:05:26,Virgen de la Esperanza de Triana,Sevilla,1,1,1,0,1,1,0,0,4
Tus Dolores son mis Penas,Antonio Pantión Pérez,1970,287,0:04:47,Hdad de las Penas de San Vicente,Sevilla,0,0,0,0,0,0,0,0,0
Una lágrima,Eduardo López Juarranz,1886,236,0:03:56,Sin dedicatoria,Cádiz,0,0,0,1,0,0,0,1,2
Valle de Sevilla,José de la Vega Sánchez,1990,337,0:05:37,Hdad del Valle,Sevilla,0,0,0,1,0,0,0,1,2
Victoria de San Miguel,José Antonio López Camacho,1997,259,0:04:19,Hdad de la Borriquita,Sanlúcar de Barrameda,1,1,0,0,0,0,0,0,1
Victoria Dolorosa,José Font de Anta,1924,622,0:10:22,Virgen de la Victoria,Sevilla,0,0,0,0,0,0,0,0,0
Virgen de la Estrella,Pedro Gámez Laserna,1970,291,0:04:51,Virgen de la Estrella,Sevilla,1,1,1,0,1,1,0,0,4
Virgen de la Palma,Manuel Marvizón Carvallo,2004,262,0:04:22,Virgen de la Palma,Sevilla,1,0,0,0,0,0,0,0,0
Virgen de la Victoria,Francisco Barril Cortés,1982,322,0:05:22,Virgen de la Victoria ,Sevilla,1,1,0,0,0,1,0,0,2
Virgen de las Aguas,Santiago Ramos Castro,1953,276,0:04:36,Virgen de las Aguas,Sevilla,1,0,1,0,1,0,0,0,2
Virgen de las Penas,Abel Moreno,1997,262,0:04:22,Virgen de las Penas,Cádiz,1,0,1,0,0,0,0,0,1
Virgen de las Penas Coronada,Cristóbal López Gándara,2022,231,0:03:51,Virgen de las Penas,Cádiz,1,0,2,0,0,0,0,0,2
Virgen de los Estudiantes,Abel Moreno,1987,304,0:05:04,Virgen de la Angustia,Sevilla,0,1,0,0,1,0,0,0,2
Virgen de los Negritos,Pedro Morales,1972,337,0:05:37,Virgen de los Angeles,Sevilla,1,0,0,0,0,1,0,0,1
Virgen de Montserrat,Pedro Morales,1970,277,0:04:37,Ntra Señora de Montserrat,Sevilla,1,0,1,0,0,1,0,0,2
Virgen del Dulce Nombre,Pedro Morales,1986,251,0:04:11,Virgen del Dulce Nombre,Sevilla,1,0,1,0,0,1,0,0,2
Virgen del Valle,Vicente Gómez-Zarzuela,1897,289,0:04:49,Virgen del Valle,Sevilla,0,0,0,1,0,0,1,2,4
50 años de Victoria,Alberto Gómez Ruiz,2022,289,0:04:49,Virgen de la Victoria,Sanlúcar de Barrameda,1,1,0,0,0,0,0,0,1
Oremos,Ricardo Dorado Janeiro,1969,340,0:05:40,Sin dedicatoria,NA,0,0,0,1,0,0,0,0,1
,,,,,,,,50,45,43,46,46,33,36,299
